date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:15	50512/50512	---M--	200	added ('OK')	application/font-woff	etag:%225badb0212b0828692dc5090fe2a57e66f5b12d91%22	https://use.typekit.net/af/4ae560/00000000000000007735a11a/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/4ae560/00000000000000007735a11a/30/de196	(from https://use.typekit.net/wwd6pco.css)
22:08:15	106244/106244	---M-Z	200	added ('OK')	font/opentype	etag:W/%225badb0212b0828692dc5090fe2a57e66f5b12d91%22	https://use.typekit.net/af/4ae560/00000000000000007735a11a/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/4ae560/00000000000000007735a11a/30/ae196	(from https://use.typekit.net/wwd6pco.css)
22:08:15	45712/45712	---M--	200	added ('OK')	application/font-woff2	etag:%228f0c0da703b95381e50a51333228542bece51c87%22	https://use.typekit.net/af/889857/00000000000000007735a126/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/889857/00000000000000007735a126/30/lfdcc	(from https://use.typekit.net/wwd6pco.css)
22:08:15	53260/53260	---M--	200	added ('OK')	application/font-woff	etag:%228f0c0da703b95381e50a51333228542bece51c87%22	https://use.typekit.net/af/889857/00000000000000007735a126/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/889857/00000000000000007735a126/30/dfdcc	(from https://use.typekit.net/wwd6pco.css)
22:08:17	106060/106060	---M-Z	200	added ('OK')	font/opentype	etag:W/%228f0c0da703b95381e50a51333228542bece51c87%22	https://use.typekit.net/af/889857/00000000000000007735a126/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/889857/00000000000000007735a126/30/afdcc	(from https://use.typekit.net/wwd6pco.css)
22:08:17	46724/46724	---M--	200	added ('OK')	application/font-woff2	etag:%220443875dee9bf43cf95e0f5ce5b29647c30de121%22	https://use.typekit.net/af/f0d114/00000000000000007735a11e/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/f0d114/00000000000000007735a11e/30/l652f	(from https://use.typekit.net/wwd6pco.css)
22:08:17	53384/53384	---M--	200	added ('OK')	application/font-woff	etag:%220443875dee9bf43cf95e0f5ce5b29647c30de121%22	https://use.typekit.net/af/f0d114/00000000000000007735a11e/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/f0d114/00000000000000007735a11e/30/d652f	(from https://use.typekit.net/wwd6pco.css)
22:08:17	107752/107752	---M-Z	200	added ('OK')	font/opentype	etag:W/%220443875dee9bf43cf95e0f5ce5b29647c30de121%22	https://use.typekit.net/af/f0d114/00000000000000007735a11e/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/f0d114/00000000000000007735a11e/30/a652f	(from https://use.typekit.net/wwd6pco.css)
22:08:18	47892/47892	---M--	200	added ('OK')	application/font-woff2	etag:%22a6723ee85629865af07fd267fd2ee23a5ef6f3c3%22	https://use.typekit.net/af/8babc2/00000000000000007735a120/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/8babc2/00000000000000007735a120/30/le265	(from https://use.typekit.net/wwd6pco.css)
22:08:18	55276/55276	---M--	200	added ('OK')	application/font-woff	etag:%22a6723ee85629865af07fd267fd2ee23a5ef6f3c3%22	https://use.typekit.net/af/8babc2/00000000000000007735a120/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	E:/cloning%20website/Muslimah/use.typekit.net/af/8babc2/00000000000000007735a120/30/de265	(from https://use.typekit.net/wwd6pco.css)
